Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PF,Team,Season,Class,Pos,Height
Julian Edmonson,30,5.0,568,10.5,26.2,6.2,15.2,4.3,11.0,9.3,12.5,5.7,3.0,2.3,0.2,5.6,6.6,abilene-christian,2014,3.0,G,73.0
Jacob Lancaster,31,11.0,434,12.0,21.7,11.8,21.5,0.1,0.1,5.0,7.9,19.6,1.0,1.0,5.0,5.6,6.7,abilene-christian,2014,3.0,F,82.0
Parker Wentz,31,29.0,1040,7.7,15.7,3.2,5.6,4.5,10.1,4.5,5.2,3.9,4.9,2.8,0.1,3.4,4.0,abilene-christian,2014,2.0,G,69.0
LaDarrien Williams,16,14.0,474,8.1,21.8,6.4,16.3,1.7,5.5,6.5,9.1,10.5,7.7,2.4,0.5,4.2,5.2,abilene-christian,2014,3.0,G,72.0
Harrison Hawkins,16,16.0,481,6.8,18.1,3.7,10.4,3.1,7.6,7.5,8.8,5.0,6.3,2.1,0.0,6.0,5.8,abilene-christian,2014,3.0,G,72.0
James Pegues,31,0.0,445,7.3,16.6,7.2,15.8,0.1,0.8,6.1,7.4,13.4,2.1,2.9,0.4,6.1,9.4,abilene-christian,2014,2.0,F,78.0
Rafael Farley,27,11.0,421,6.2,15.6,1.5,4.9,4.6,10.7,1.7,2.5,4.9,1.7,0.6,0.3,2.5,4.6,abilene-christian,2014,3.0,G,77.0
Alexsander Milosavljevic,19,0.0,127,7.9,15.4,7.9,14.9,0.0,0.5,1.9,3.7,15.4,1.4,0.0,1.4,4.7,8.8,abilene-christian,2014,3.0,F,81.0
Austin Cooke,31,31.0,914,5.2,11.8,2.1,4.3,3.0,7.5,2.4,3.3,11.4,3.9,1.9,0.3,1.9,4.9,abilene-christian,2014,2.0,F,79.0
Michael Grant,31,17.0,642,5.1,10.2,5.1,9.8,0.0,0.5,4.5,6.6,6.5,2.9,2.8,1.1,4.5,6.5,abilene-christian,2014,1.0,G,77.0
Riley Payne,31,20.0,584,3.9,8.3,3.9,8.3,0.0,0.0,3.2,4.5,7.9,2.4,1.8,0.3,3.3,8.9,abilene-christian,2014,1.0,F,77.0
Chris Blakeley,26,1.0,145,0.8,3.7,0.8,2.0,0.0,1.6,0.0,0.8,5.7,7.7,1.2,0.0,7.7,4.9,abilene-christian,2014,1.0,G,72.0
Tre' Coggins,27,25.0,958,9.3,22.0,4.7,10.1,4.6,11.9,4.4,5.6,4.6,4.5,2.0,0.6,4.7,4.3,air-force,2014,2.0,G,74.0
Zach Moer,12,0.0,52,8.2,16.5,8.2,12.9,0.0,3.5,8.2,11.8,9.4,5.9,1.2,4.7,5.9,9.4,air-force,2014,2.0,C,83.0
Max Yon,30,30.0,1038,7.4,17.0,5.2,10.2,2.1,6.8,6.1,7.8,6.2,4.4,1.5,0.2,4.3,3.4,air-force,2014,3.0,G,76.0
Marek Olesinski,30,28.0,904,7.2,16.8,4.1,7.4,3.2,9.5,3.8,4.9,9.9,3.4,1.2,0.7,3.2,4.9,air-force,2014,3.0,F,81.0
Austin Flues,1,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,20.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,air-force,2014,1.0,F,80.0
Kamryn Williams,23,22.0,718,7.7,17.8,6.0,12.4,1.7,5.4,2.7,4.5,12.8,4.9,1.7,1.8,4.3,4.9,air-force,2014,3.0,F,77.0
Zach Kocur,27,1.0,261,5.6,13.1,2.8,5.4,2.8,7.7,4.5,5.6,7.7,4.5,1.6,0.0,4.0,6.1,air-force,2014,1.0,G,75.0
Darrius Parker,18,3.0,238,6.2,10.0,5.7,8.2,0.5,1.8,4.9,8.2,9.8,3.3,1.0,1.5,3.1,6.9,air-force,2014,1.0,C,79.0
Justin Hammonds,28,22.0,717,6.4,12.5,5.8,10.8,0.6,1.7,3.8,6.3,12.1,3.2,1.7,1.5,3.2,8.6,air-force,2014,3.0,F,78.0
Ethan Michael,7,3.0,47,3.9,15.6,2.6,9.1,1.3,6.5,7.8,13.0,14.3,11.7,0.0,3.9,3.9,5.2,air-force,2014,3.0,F,80.0
Hayden Graham,15,0.0,185,5.9,13.9,3.0,6.3,3.0,7.6,1.7,3.0,6.6,3.6,4.0,2.3,2.3,7.6,air-force,2014,1.0,F,77.0
Scott Adler,9,0.0,32,5.7,11.5,5.7,5.7,0.0,5.7,3.8,9.6,9.6,5.7,0.0,1.9,0.0,1.9,air-force,2014,3.0,G,75.0
DeLovell Earls,20,7.0,391,4.8,13.0,4.2,8.9,0.6,4.1,3.9,6.7,10.0,5.3,2.0,0.6,5.0,8.4,air-force,2014,3.0,F,78.0
Callum Long,7,0.0,76,3.2,8.0,1.6,2.4,1.6,5.6,3.2,4.0,6.4,4.8,0.8,0.8,8.8,8.8,air-force,2014,1.0,G,77.0
